No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
58	Aluminium	Aluminium Strip Ceiling System	GI Bracing (P/Coated) 2440.00mm	1	PCS	7.5	7.5			
59	Aluminium	Aluminium Strip Ceiling System	GI Bracing 2440.00mm	1	PCS	3.80	3.8			
60	Aluminium	Aluminium Strip Ceiling System	GI Carrier Rail (MF) 4880.00mm	1	PCS	20	20			
61	Aluminium	Aluminium Strip Ceiling System	GI Panel Joint (100.00mm)	1	PCS	0.7	0.7			
62	Aluminium	Aluminium Strip Ceiling System	GI Panel Joint (150.00mm)	1	PCS	0.8	0.8			
63	Aluminium	Aluminium Strip Ceiling System	GI Panel Joint (200.00mm)	1	PCS	1	1			
64	Aluminium	Door & Window Accessories	161 PVC Interlock Cover	1	PCS	1.5	1.5	2024-03-17	YIT LOONG BUILDING MATERIALS SDN BHD	
65	Aluminium	Door & Window Accessories	Adhesive Tape 2051 153m	2	ROLL	60.5	121	2021-05-21	Wintech Poly Industries Sdn Bhd	src=2021-05-21 WTP2105-072 - WINTECH POLY INDUSTRIES SDN BHD.pdf;verify_needed=1;wrong_category_fixed=1;normalized_case=1
66	Aluminium	Door & Window Accessories	Adhesive Tape 2215A 153m	1	ROLL	50	50	2024-07-09	WINTECH POLY INDUSTRIES SDN BHD	src=2024-07-09 4951 - WINTECH POLY INDUSTRIES SDN BHD.pdf;verify_needed=1;price_per_roll=1;charge_not_material=1;excluded_charge=SST 10% RM5.00
67	Aluminium	Door & Window Accessories	Adhesive Tape MV3320A 153m	2	ROLL	52.8	105.6	2021-05-21	Wintech Poly Industries Sdn Bhd	src=2021-05-21 WTP2105-072 - WINTECH POLY INDUSTRIES SDN BHD.pdf;verify_needed=1;wrong_category_fixed=1;normalized_case=1
68	Aluminium	Door & Window Accessories	Adhesive Tape MV3320S 153m	2	ROLL	36.3	72.6	2021-05-21	Wintech Poly Industries Sdn Bhd	src=2021-05-21 WTP2105-072 - WINTECH POLY INDUSTRIES SDN BHD.pdf;verify_needed=1;wrong_category_fixed=1;normalized_case=1
69	Aluminium	Door & Window Accessories	AFG1002-Nylon Floor Guide For SD 790	1	PCS	20	20	2022-07-12	YIT LOONG BUILDING MATERIALS SDN BHD	
70	Aluminium	Door & Window Accessories	AFG1002-Nylon Floor Guide For SD 790 - BK	1	PCS	15	15	2023-08-17	YIT LOONG BUILDING MATERIALS SDN BHD	
71	Aluminium	Door & Window Accessories	AFG1002-Nylon Floor Guide For SD 790 - WH	1	PCS	15	15	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
72	Aluminium	Door & Window Accessories	Aluminium Handle 12.00" Black	1	PAIR	18	18	2024-03-21	YIT LOONG BUILDING MATERIALS SDN BHD	
73	Aluminium	Door & Window Accessories	Aluminium Handle 12.00" NA Star	1	PAIR	15	15	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
74	Aluminium	Door & Window Accessories	Aluminium Handle 12.00" WH	1	PAIR	18	18	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
75	Aluminium	Door & Window Accessories	Aluminium Handle 9.00" NA	1	PAIR	18	18	2021-11-12	YIT LOONG BUILDING MATERIALS SDN BHD	
76	Aluminium	Door & Window Accessories	Big Crescent Lock CL310 BL (L)	1	PCS	5.5	5.5	2022-05-19	YIT LOONG BUILDING MATERIALS SDN BHD	
77	Aluminium	Door & Window Accessories	Big Crescent Lock CL310 BL (R)	1	PCS	5.5	5.5	2022-05-19	YIT LOONG BUILDING MATERIALS SDN BHD	
78	Aluminium	Door & Window Accessories	Big Crescent Lock CL310 NA (L)	1	PCS	5.5	5.5	2022-05-19	YIT LOONG BUILDING MATERIALS SDN BHD	
79	Aluminium	Door & Window Accessories	Big Crescent Lock CL310 NA (R)	1	PCS	5.5	5.5	2022-05-19	YIT LOONG BUILDING MATERIALS SDN BHD	
80	Aluminium	Door & Window Accessories	Black Tape 1" Teca	1	CTN	270.00	270	2022-08-07	YIT LOONG BUILDING MATERIALS SDN BHD	
81	Aluminium	Door & Window Accessories	Black Tape 1" Teca	1	ROLL	5.63	5.63	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
82	Aluminium	Door & Window Accessories	Black Tape 2 1/2"	1	ROLL	14.06	14.06	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
83	Aluminium	Door & Window Accessories	Black Tape 2 1/2" Teca	1	ROLL	14.06	14.06	2024-05-17	YIT LOONG BUILDING MATERIALS SDN BHD	
84	Aluminium	Door & Window Accessories	Black Tape 2"	1	ROLL	11.25	11.25	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
