No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier
53	Labour	Installation Works	Pemasangan Pembumian Elektrik		PCS	500.00			
54	Labour	Installation Works	Pemasangan Water Heater		PCS	100			
55	Rental	Equipment Rental	Cement Mixer Rental - Month 1 (Per Month)	1	MONTH	650.00	650.00	2026-01-30	KEJURUTERAAN HOO TENG
56	Rental	Equipment Rental	Cement Mixer Rental - Month 2 Onwards (Per Month)	1	MONTH	450	450	2026-01-30	KEJURUTERAAN HOO TENG
57	Rental	Plant & Machinery	Backhoe Hire - Standard (Per Day)	1	DAY	600.00	600.00	2026-01-30	XIN LONG TRACTOR ENGINEERING
58	Rental	Plant & Machinery	Backhoe Hire - With Hydraulic Breaker (Per Day)	1	DAY	1,050.00	1,050.00	2026-01-30	XIN LONG TRACTOR ENGINEERING
59	Rental	Scaffolding Rental	Scaffolding Bay Set (Used) 1.7m(H) x 0.9m(W) incl 1 Platform (Per Month). Deposit RM195/set refundable.	1	SET	45.00	45	2026-01-30	LABU SCAFFOLD (M) SDN BHD
60	Rental	Scaffolding Rental	Scaffolding Jack + U-Head Set (Used) 600mm (2 Jack Base + 2 U-Head) (Per Month). Deposit RM40/set refundable.	1	SET	20.00	20	2026-01-30	LABU SCAFFOLD (M) SDN BHD
61	Services	Transport & Disposal	RORO Bin - 2ft (Per Trip)	1	TRIP	200.00	200.00	2026-01-30	KMS RAJAH ENTERPRISE
62	Services	Transport & Disposal	RORO Bin - 5ft (Per Trip)	1	TRIP	350.00	350.00	2026-01-30	KMS RAJAH ENTERPRISE
